取引先ID,事業,会社名,業種,都道府県,市区町村,住所,決裁者役職,決裁者氏名,電話,メール,LINE,Instagram,X,URL,紹介元,ステージ,優先度,連絡NG,反社チェック日,リスト出所,取込日,最終接触日,次アクション,次アクション期限,メモ,重複キー
C000180,清掃,株式会社ペントハウス,管理会社,大阪府,守口市,守口市寺内町1-11-19,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒570-0056,ペントハウス
C000181,清掃,（株）リードエイジ,管理会社,大阪府,守口市,大阪府守口市寺内町2丁目7-32,,,,,,,,https://www.lead-age.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒570-0056,リードエイジ
C000182,清掃,ウィルハウス（株）,管理会社,大阪府,寝屋川市,大阪府寝屋川市日之出町1ー1,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒572-0835,ウィルハウス
C000183,清掃,セプトプロパティー（株）,管理会社,大阪府,寝屋川市,大阪府寝屋川市清水町22-5,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒572-0044,セプトプロパティー
C000184,清掃,明成不動産管理（株）,管理会社,大阪府,寝屋川市,大阪府寝屋川市香里南之町14-7,,,,,,,,https://meiseilife.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒572-0084,明成不動産管理
C000185,清掃,株式会社マエダエステート,管理会社,大阪府,寝屋川市,寝屋川市大成町1-1,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒572-0819,マエダエステート
C000186,清掃,（株）谷町君管財,管理会社,大阪府,寝屋川市,大阪府寝屋川市田井西町19-17,,,,,,,,https://www.gutingjun.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒572-0020,谷町君管財
C000187,清掃,アパルトマンエージェント（株）,管理会社,大阪府,岸和田市,大阪府岸和田市土生町2丁目30-22タチバナビル1階,,,,,,,,https://aprt-a.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒596-0825,アパルトマンエージェント
C000188,清掃,フリー（株）,管理会社,大阪府,岸和田市,大阪府岸和田市土生町1丁目4-23,,,,,,,,https://www.freescorp.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒596-0825,フリー
C000189,清掃,（株）レンタル・パーク,管理会社,大阪府,岸和田市,大阪府岸和田市野田町1丁目6-21-88ビル5階,,,,,,,,https://rentalpark.net,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒596-0076,レンタル・パーク
C000190,清掃,（有）ニシダハウジング,管理会社,大阪府,東大阪市,大阪府東大阪市小若江4丁目12-18,,,,,,,,https://www.nishidahousing.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒577-0818,ニシダハウジング
C000191,清掃,（有）正和産業,管理会社,大阪府,東大阪市,大阪府東大阪市長田東3丁目1-25,,,,,,,,https://www.kamekun.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒577-0012,正和産業
C000192,清掃,（株）タイセイシュアーサービス,管理会社,大阪府,東大阪市,大阪府東大阪市下小阪3丁目13-11,,,,,,,,https://www.taisei-sure.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒577-0803,タイセイシュアーサービス
C000193,清掃,（株）ライフリンクス,管理会社,大阪府,東大阪市,大阪府東大阪市小阪本町1丁目2ー17ライフ小阪ビル1階,,,,,,,,https://www.est-gr.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒577-0802,ライフリンクス
C000194,清掃,（株）Ｈｏｕｓｅ　Ｇｒｏｕｐ,管理会社,大阪府,東大阪市,大阪府東大阪市西堤本通西3丁目9-12,,,,,,,,https://www.r-houseosaka.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒577-0046,HouseGroup
C000195,清掃,（株）ＬｅＴｅｃｈ,管理会社,大阪府,東大阪市,大阪府東大阪市足代3丁目1-7リップル布施南ビル2階,,,,,,,,https://www.letech-corp.net,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒577-0841,LeTech
C000196,清掃,株式会社ベストホーム管理センター,管理会社,大阪府,枚方市,枚方市西船橋2-47-8102,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒573-1122,ベストホーム管理センター
C000197,清掃,関電不動産開発（株）,管理会社,大阪府,枚方市,大阪府枚方市岡東町14-44雲川ビル3F,,,,,,,,https://www.kanden-rd.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒573-0032,関電不動産開発
C000198,清掃,（株）コスモハウジング,管理会社,大阪府,枚方市,大阪府枚方市新町1丁目7ー4,,,,,,,,https://www.cosmo-h.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒573-1191,コスモハウジング
C000199,清掃,（株）サンフィールド,管理会社,大阪府,枚方市,大阪府枚方市春日元町1丁目38-20,,,,,,,,https://sunfield-pm.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒573-0135,サンフィールド
C000200,清掃,（株）トラストエージェント,管理会社,大阪府,枚方市,大阪府枚方市岡東町17-5-101,,,,,,,,https://trustagent.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒573-0032,トラストエージェント
C000201,清掃,（株）Ｂｅｌｌ,管理会社,大阪府,枚方市,大阪府枚方市町楠葉1丁目5-8,,,,,,,,https://bell-hammer.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒573-1106,Bell
C000202,清掃,（株）ＲｅＬｉｆｅ　Ｐｒｏｐｅｒｔｙ,管理会社,大阪府,枚方市,大阪府枚方市中宮北町2-30松田ビル2F,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒573-1194,ReLifeProperty
C000203,清掃,（株）アドミニ,管理会社,大阪府,泉大津市,大阪府泉大津市旭町22-55,,,,,,,,https://www.admini.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒595-0025,アドミニ
C000204,清掃,南光不動産（株）,管理会社,兵庫県,西宮市,兵庫県西宮市生瀬東町15-20,,,,,,,,https://www.foryounanko.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒669-1103,南光不動産
